City,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Man-slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With an Object,Criminal Sexual Contact,Incest,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counter-feiting/Forgery,Destruction/Damage/Vandalism of Property,Unnamed: 30
Richland Hills,8315,744,175,353,216,153,28,98,27,2,2,0,0,0,0,0,8,12,9,1,0,2,0,0,0,1,52,19,59,0
Richmond,13017,644,169,409,66,155,31,101,23,3,3,0,0,0,0,0,7,4,2,0,1,1,0,0,0,0,34,29,51,0
Richwood,4748,115,37,74,4,34,0,28,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,12,0
Rio Grande City,15253,514,41,432,41,38,21,17,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,3,0,48,2,84,0
Rio Hondo,2261,84,29,41,14,25,11,13,1,0,0,0,0,0,0,0,0,4,1,0,2,0,1,0,0,0,5,0,3,0
River Oaks,7349,269,51,143,75,45,18,20,7,0,0,0,0,0,0,0,0,6,3,1,0,2,0,0,0,0,18,3,24,0
Roanoke,10036,543,48,276,219,45,2,37,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,14,6,21,0
Robinson,13158,407,170,167,70,156,14,95,47,1,1,0,0,0,0,0,7,6,1,1,1,2,1,0,0,0,20,4,33,0
Robstown,10198,755,230,372,153,223,30,169,24,2,2,0,0,0,0,0,1,4,2,1,1,0,0,0,0,0,99,6,54,0
Rockdale,5631,228,65,78,85,65,28,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,9,0
Rockport,11003,611,184,322,105,158,35,105,18,4,1,3,0,0,0,0,5,17,12,2,0,3,0,0,2,0,52,9,43,0
Rockwall,53433,1798,400,1059,339,385,39,263,83,0,0,0,0,0,0,0,5,10,7,0,0,3,0,0,0,0,38,33,93,0
Rogers,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rollingwood,1408,54,5,46,3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,0
Roma,11503,406,174,152,80,170,22,83,65,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,1,0,16,7,30,0
Roman Forest,2279,221,61,136,24,59,10,36,13,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,20,2,28,0
Roscoe,1226,7,2,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rose City,341,24,5,15,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
Rosenberg,41900,2164,754,904,506,727,57,644,26,1,1,0,0,0,0,0,0,26,20,0,0,6,0,0,1,0,67,61,113,0
Round Rock,129898,6170,1436,4038,696,1370,114,1251,5,3,2,1,0,0,0,0,25,38,36,2,0,0,0,0,5,0,212,75,499,0
Rowlett,66671,2491,755,1416,320,716,104,492,120,3,3,0,0,2,2,0,0,34,19,3,3,9,0,0,4,0,94,15,219,0
Royse City,23763,815,151,461,203,131,31,86,14,1,1,0,0,1,0,1,1,17,8,2,1,6,0,0,0,1,53,14,35,0
Runaway Bay,1961,17,4,11,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Rusk,5504,256,89,124,43,84,14,50,20,1,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,22,6,25,0
Sabinal,1387,39,12,4,23,12,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sachse,32671,726,221,427,78,212,11,154,47,0,0,0,0,0,0,0,0,9,1,0,1,7,0,0,0,0,37,9,70,0
Saginaw,26007,855,214,493,148,194,23,128,43,2,1,1,0,0,0,0,1,17,12,1,1,3,0,0,0,0,31,7,90,0
Salado,2406,19,5,10,4,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
San Angelo,98642,7562,2303,4174,1085,2233,214,1840,179,5,5,0,0,0,0,0,22,43,32,2,4,5,0,0,6,0,382,85,911,0
San Antonio,1490047,158763,33617,112794,12352,31033,6946,20075,4012,187,163,11,13,21,16,5,109,2267,910,216,332,809,0,0,232,7,7704,1821,18300,0
San Augustine,1868,54,16,17,21,16,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0
San Benito,24578,1427,251,1058,118,246,63,142,41,0,0,0,0,3,1,2,1,1,0,0,0,0,1,0,1,0,92,13,155,0
San Elizario,10145,34,18,14,2,18,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0
Sanger,10144,284,89,152,43,85,8,63,14,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,1,0,12,18,19,0
San Juan,36008,1394,481,833,80,433,95,253,85,3,2,1,0,4,4,0,4,37,0,0,0,37,0,0,0,0,108,19,179,0
San Marcos,71413,4002,1355,2327,320,1236,223,812,201,3,3,0,0,1,1,0,33,82,45,9,4,24,0,0,4,1,231,39,344,0
San Saba,3135,45,11,17,17,8,1,6,1,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,1,0,0,2,6,0
Sansom Park Village,5315,308,60,200,48,54,21,21,12,0,0,0,0,0,0,0,3,3,2,0,0,1,0,0,0,0,33,3,43,0
Santa Anna,1045,30,4,5,21,3,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0
Santa Fe,12883,259,75,126,58,68,12,45,11,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,14,8,10,0
Schertz,43461,1101,351,578,172,334,55,189,90,0,0,0,0,0,0,0,1,16,7,0,2,7,0,0,3,0,51,35,24,0
Schulenburg,2758,119,27,54,38,24,17,3,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,4,5,0
Seabrook,13770,497,189,247,61,175,11,134,30,0,0,0,0,0,0,0,2,12,6,2,0,4,0,0,0,0,23,5,55,0
Seadrift,997,14,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Seagoville,20098,645,111,462,72,101,35,56,10,0,0,0,0,0,0,0,2,8,3,1,2,2,0,0,2,0,55,3,107,0
Sealy,7019,210,31,125,54,25,7,15,3,0,0,0,0,0,0,0,0,6,2,0,0,4,0,0,0,0,19,10,27,0
Seguin,35581,2177,725,1066,386,659,62,546,51,5,5,0,0,27,3,24,2,32,15,0,0,17,0,0,1,0,85,21,210,0
Selma,11871,648,101,421,126,93,23,60,10,2,1,1,0,0,0,0,0,6,3,0,0,3,0,0,1,1,15,20,25,0
Seminole,7182,342,96,124,122,93,16,73,4,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,17,1,34,0
Seven Points,1464,61,25,32,4,24,6,11,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,2,7,0
Seymour,2578,24,10,9,5,10,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
Shallowater,2923,32,10,21,1,10,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0
Shavano Park,3672,101,10,69,22,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,0
Shenandoah,3738,484,48,374,62,43,7,30,6,0,0,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,17,10,25,0
Sherman,45941,2437,891,964,582,830,145,630,55,3,3,0,0,0,0,0,16,42,24,4,1,13,0,0,3,0,215,36,103,0
Shiner,2198,72,18,38,16,16,3,13,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,15,0
Silsbee,6829,261,58,116,87,54,10,39,5,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,6,9,15,0
Sinton,5520,314,70,165,79,68,13,24,31,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,15,1,43,0
Slaton,5679,178,55,110,13,54,19,29,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,20,6,19,0
Smithville,4223,199,64,89,46,59,7,39,13,0,0,0,0,0,0,0,0,5,4,0,0,1,0,0,0,0,7,3,30,0
Snyder,11131,585,169,221,195,162,133,25,4,2,2,0,0,0,0,0,0,5,4,0,1,0,0,0,1,1,25,6,25,0
Socorro,39445,1022,380,430,212,351,53,218,80,0,0,0,0,0,0,0,2,27,17,4,0,6,0,0,0,0,37,6,82,0
Somerset,1820,23,5,16,2,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0
Somerville,1391,31,14,12,5,7,2,5,0,1,0,1,0,0,0,0,0,6,1,0,0,5,0,0,0,0,0,1,2,0
Sonora,2337,15,6,7,2,5,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0
Sour Lake,1843,54,21,17,16,18,1,16,1,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,2,1,4,0
South Houston,15718,1152,328,606,218,311,53,181,77,1,1,0,0,0,0,0,1,15,5,3,2,3,2,0,1,0,50,10,97,0
Southlake,31024,701,73,496,132,68,9,48,11,0,0,0,0,1,1,0,0,4,2,0,0,2,0,0,1,0,22,20,53,0
South Padre Island,2048,801,226,414,161,215,27,153,35,0,0,0,0,0,0,0,0,11,8,0,1,2,0,0,0,0,18,3,95,0
Southside Place,1850,33,4,28,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
Spearman,3051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Splendora,1958,241,13,55,173,12,3,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,16,0
Springtown,4227,209,60,105,44,51,7,35,9,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,14,5,16,0
Spring Valley,4278,107,4,102,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,17,0
Stafford,17330,1290,337,833,120,320,54,246,20,0,0,0,0,0,0,0,1,16,12,1,1,2,0,0,0,0,37,7,74,0
Stamford,2935,89,20,33,36,18,1,17,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,8,0,9,0
Stanton,2653,68,14,48,6,14,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,3,0
Stephenville,21911,847,295,357,195,271,42,207,22,0,0,0,0,0,0,0,3,21,15,0,0,6,0,0,0,0,40,18,46,0
Stratford,1976,10,4,3,3,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Sudan,922,6,3,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugar Land,108718,3047,498,2059,490,467,35,355,77,5,3,2,0,0,0,0,1,25,10,1,1,13,0,0,0,0,64,74,122,0
Sullivan City,3903,147,51,73,23,51,16,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,12,0
Sulphur Springs,16640,402,104,180,118,89,11,62,16,1,1,0,0,0,0,0,0,14,8,1,0,5,0,0,1,0,11,11,19,0
Sunnyvale,8741,230,34,136,60,32,10,14,8,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17,2,17,0
Sunray,1694,37,6,31,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,0
Sunrise Beach Village,800,27,3,20,4,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0
Sunset Valley,626,382,9,349,24,9,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,25,0
Surfside Beach,681,18,7,10,1,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
Sweeny,3529,186,52,92,42,51,9,41,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,13,13,0
Sweetwater,10310,508,236,171,101,223,45,151,27,1,1,0,0,0,0,0,5,7,5,0,0,2,0,0,0,0,39,3,8,0
Taft,2903,71,26,29,16,24,3,21,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,9,0
Tahoka,2432,71,34,32,5,30,8,21,1,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,7,1,8,0
Tatum,1375,6,2,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Taylor,17267,733,233,433,67,217,34,167,16,0,0,0,0,1,1,0,0,15,1,0,0,14,0,0,2,0,65,6,95,0
Teague,3490,137,42,84,11,37,10,26,1,0,0,0,0,0,0,0,1,4,3,0,0,1,0,0,0,0,21,2,20,0
Temple,93073,4783,1436,2318,1029,1274,201,950,123,7,7,0,0,8,5,3,15,132,70,23,6,33,0,0,11,1,237,68,26,0
Tenaha,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrell,21371,1204,272,730,202,256,44,194,18,4,4,0,0,0,0,0,0,12,6,1,1,4,0,0,2,0,57,34,126,0
Terrell Hills,5049,117,11,106,0,11,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0
Texarkana,35560,2863,895,1377,591,844,120,645,79,7,7,0,0,1,1,0,2,41,22,4,3,12,0,0,0,0,114,28,252,0
Texas City,57448,4112,1360,1842,910,1317,159,964,194,5,4,1,0,0,0,0,1,37,31,2,0,4,0,0,4,1,173,37,155,0
The Colony,45671,2027,341,1495,191,311,52,251,8,1,1,0,0,0,0,0,7,22,15,0,6,1,0,0,1,0,54,12,140,0
Thorndale,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Rivers,1581,22,11,3,8,11,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tioga,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd Mission,128,14,1,11,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
Tomball,14260,743,201,457,85,192,44,125,23,0,0,0,0,0,0,0,0,9,7,0,1,1,0,0,3,0,29,24,49,0
Tom Bean,981,10,6,3,1,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Tool,2275,38,17,12,9,17,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
Trophy Club,13772,198,48,90,60,46,2,40,4,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,5,5,11,0
Tulia,4354,302,98,141,63,92,17,49,26,0,0,0,0,0,0,0,0,6,3,0,0,3,0,0,0,0,19,3,32,0
Tye,1203,25,11,7,7,10,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tyler,110824,6959,1786,3629,1544,1648,344,1238,66,12,11,1,0,0,0,0,19,107,80,4,2,21,0,0,3,1,271,118,605,0
Universal City,20112,1715,387,1063,265,360,28,237,95,0,0,0,0,0,0,0,1,26,20,1,0,5,0,0,0,0,91,24,215,0
University Park,25080,439,40,349,50,37,3,34,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,147,5,30,0
Uvalde,15538,964,296,561,107,269,36,204,29,0,0,0,0,0,0,0,7,20,9,2,0,9,0,0,1,0,81,28,111,0
Valley Mills,1294,28,8,11,9,4,2,2,0,1,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,4,0,2,0
Van,2891,94,15,39,40,13,2,10,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,4,6,0
Van Alstyne,7203,214,44,85,85,44,6,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,18,0
Vega,861,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venus,8228,228,74,57,97,66,16,49,1,0,0,0,0,0,0,0,0,8,0,3,0,5,0,0,0,0,5,3,8,0
Vernon,9598,503,168,226,109,154,18,112,24,0,0,0,0,0,0,0,1,13,4,1,1,6,1,0,0,0,29,13,44,0
Victoria,65298,4308,1120,2189,999,1052,180,771,101,7,5,2,0,0,0,0,8,53,37,5,1,10,0,0,4,0,223,65,370,0
Vidor,9642,273,87,144,42,77,16,42,19,0,0,0,0,0,0,0,1,9,8,0,0,1,0,0,0,0,30,2,19,0
Waco,145741,9593,2919,5362,1312,2687,515,1953,219,15,12,3,0,3,3,0,52,162,100,22,0,40,0,0,15,0,509,178,841,0
Waelder,956,32,17,6,9,16,0,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,2,0
Wake Village,5794,144,43,73,28,43,5,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,13,0
Waller,3364,146,28,99,19,25,5,19,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,21,3,15,0
Wallis,1365,29,13,14,2,13,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
Watauga,22782,1038,187,473,378,167,20,133,14,0,0,0,0,0,0,0,1,19,13,2,0,4,0,0,1,1,41,21,75,0
Waxahachie,47535,1963,435,1042,486,393,84,220,89,1,0,1,0,0,0,0,2,39,13,5,5,16,0,0,2,0,53,21,140,0
Weatherford,39115,2027,480,950,597,425,49,282,94,0,0,0,0,0,0,0,9,46,23,4,0,19,0,0,2,0,49,39,110,0
Webster,12045,1827,268,1094,465,256,43,186,27,0,0,0,0,0,0,0,0,12,1,1,3,7,0,0,0,0,78,23,100,0
Weimar,2101,72,16,26,30,16,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0
Weslaco,43072,4269,1080,2494,695,1033,110,690,233,0,0,0,0,0,0,0,14,33,18,4,0,11,0,0,2,0,129,48,425,0
West,2586,33,13,19,1,12,4,7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,2,0
West Columbia,3579,170,42,103,25,41,5,27,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,12,1,16,0
West Lake Hills,3166,150,16,116,18,16,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0
West Orange,3396,162,26,127,9,23,4,10,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,20,3,15,0
Westover Hills,639,25,1,14,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
West University Place,14686,399,19,281,99,18,5,11,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,23,10,23,0
Westworth,2658,346,45,192,109,44,14,21,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,6,24,0
Wharton,8792,540,146,309,85,142,28,112,2,0,0,0,0,0,0,0,0,4,0,2,0,1,1,0,0,0,30,3,61,0
Whitehouse,9609,161,40,96,25,30,4,23,3,0,0,0,0,1,0,1,1,8,6,2,0,0,0,0,0,0,7,6,15,0
White Oak,6233,141,53,77,11,50,4,45,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,8,5,10,0
Whitesboro,4396,67,28,22,17,27,3,12,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,2,0
White Settlement,17949,901,234,556,111,210,88,105,17,0,0,0,0,0,0,0,0,24,18,1,1,4,0,0,1,0,71,14,114,0
Whitewright,1856,31,10,14,7,10,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
Whitney,2096,100,29,62,9,27,3,22,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5,4,17,0
Wichita Falls,102740,7118,2416,4041,661,2257,342,1297,618,7,4,3,0,0,0,0,13,139,69,22,9,38,0,1,0,2,0,438,169,383
Willis,7201,451,150,277,24,136,28,89,19,1,1,0,0,0,0,0,1,12,9,1,0,2,0,0,0,0,0,33,5,51
Willow Park,6023,263,47,106,110,45,9,27,9,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7,10,14
Wills Point,4023,97,35,45,17,32,9,23,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,5,4
Wilmer,6169,257,51,186,20,45,14,31,0,1,0,1,0,0,0,0,0,5,3,1,0,1,0,0,0,1,0,10,5,37
Windcrest,5766,1205,93,682,430,90,8,68,14,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,1,22,34,85
Wink,837,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnsboro,3611,121,26,39,56,20,4,15,1,0,0,0,0,0,0,0,0,6,2,0,0,4,0,0,0,0,0,11,4,6
Winters,2318,38,7,13,18,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Wolfforth,7135,182,57,61,64,56,9,40,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,5,15
Woodbranch,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodsboro,1245,20,7,8,5,7,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Woodville,2420,54,8,29,17,8,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4
Wortham,1017,42,6,22,14,4,4,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,1,2
Wylie,62539,1227,388,657,182,367,24,296,47,0,0,0,0,0,0,0,0,21,14,2,2,3,0,0,0,0,0,36,9,78
Yoakum,5885,92,27,48,17,24,0,18,6,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,12,2,7
Zavalla,610,36,8,19,9,7,3,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,3
